latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
20.76073,85.29929,340.71,0.39,0.36,2025-09-09,0735,N,nominal,2.0NRT,300.72,7.1,D
20.96423,85.18928,342.42,0.39,0.36,2025-09-09,0735,N,nominal,2.0NRT,301.51,3.66,D
20.96368,85.18555,330.22,0.39,0.36,2025-09-09,0735,N,low,2.0NRT,300.74,3.66,D
20.96204,85.17436,336.27,0.39,0.36,2025-09-09,0735,N,nominal,2.0NRT,301.06,7.45,D
20.96372,85.16264,331.7,0.39,0.36,2025-09-09,0735,N,nominal,2.0NRT,297.52,5.95,D
20.96815,85.16954,334.53,0.39,0.36,2025-09-09,0735,N,nominal,2.0NRT,299.09,4.52,D
20.97257,85.17644,336.03,0.39,0.36,2025-09-09,0735,N,nominal,2.0NRT,295.83,4.98,D
21.37754,81.68013,329.78,0.43,0.38,2025-09-09,0737,N,low,2.0NRT,295.86,3.33,D
22.35774,87.28986,330.47,0.46,0.39,2025-09-09,0737,N,low,2.0NRT,300.93,4.14,D
22.36311,87.30267,333.34,0.46,0.39,2025-09-09,0737,N,nominal,2.0NRT,300.2,4.42,D
22.36671,87.30212,336.22,0.46,0.39,2025-09-09,0737,N,nominal,2.0NRT,301.96,6.13,D
22.37875,87.28213,333.88,0.46,0.39,2025-09-09,0737,N,nominal,2.0NRT,300.88,8.83,D
22.37816,87.27769,336.83,0.46,0.39,2025-09-09,0737,N,nominal,2.0NRT,300.63,4.98,D
22.04124,83.74082,334.51,0.38,0.36,2025-09-09,0737,N,nominal,2.0NRT,299.5,3.08,D
22.04067,83.73711,331.54,0.38,0.36,2025-09-09,0737,N,nominal,2.0NRT,299.34,3.08,D
21.10131,72.63806,333.57,0.48,0.65,2025-09-09,0737,N,nominal,2.0NRT,293.97,4.99,D
21.10589,72.64743,331.26,0.48,0.65,2025-09-09,0737,N,nominal,2.0NRT,292.77,3.11,D
21.10377,72.63823,333.27,0.48,0.65,2025-09-09,0737,N,nominal,2.0NRT,293.48,5.83,D
28.0188,96.65644,326.81,0.63,0.72,2025-09-09,0737,N,nominal,2.0NRT,287.18,6.19,D
27.59692,85.37746,329.33,0.43,0.38,2025-09-09,0737,N,nominal,2.0NRT,283.14,3.56,D
37.31334,78.84996,345.82,0.39,0.36,2025-09-09,0741,N,nominal,2.0NRT,309.58,5.6,D
